CustomerID,Lookalikes
C0001,"[('C0184', 0.8984872945344419), ('C0120', 0.8945133695232633), ('C0168', 0.856149518280859)]"
C0002,"[('C0159', 0.9791649363227918), ('C0134', 0.9045664151273745), ('C0106', 0.8846502971897854)]"
C0003,"[('C0195', 0.9380228042679383), ('C0031', 0.9264525269784128), ('C0039', 0.8851972430413743)]"
C0004,"[('C0148', 0.9083726875591586), ('C0113', 0.9081421155797567), ('C0012', 0.7475380685496319)]"
C0005,"[('C0007', 0.9918864656974362), ('C0140', 0.9093175950954265), ('C0128', 0.8426363132770903)]"
C0006,"[('C0187', 0.8745045513757316), ('C0137', 0.8168088348224718), ('C0048', 0.7778708045253804)]"
C0007,"[('C0005', 0.9918864656974362), ('C0140', 0.8549305376803197), ('C0159', 0.8337626698570737)]"
C0008,"[('C0067', 0.8132364960146746), ('C0046', 0.7981585957778714), ('C0059', 0.7718260186462986)]"
C0009,"[('C0061', 0.8941300211715121), ('C0119', 0.888377250795355), ('C0014', 0.8821315549321366)]"
C0010,"[('C0062', 0.8165966708570689), ('C0135', 0.777837273487357), ('C0061', 0.7456451960822591)]"
C0011,"[('C0107', 0.9140016041067435), ('C0153', 0.8439088858488533), ('C0188', 0.8359876764661014)]"
C0012,"[('C0181', 0.8716428485664571), ('C0039', 0.845877552742118), ('C0148', 0.8444682784256154)]"
C0013,"[('C0190', 0.894251296622828), ('C0099', 0.8107478508873441), ('C0107', 0.730451210834361)]"
C0014,"[('C0119', 0.9261168053966586), ('C0167', 0.8990459657724461), ('C0009', 0.8821315549321366)]"
C0015,"[('C0058', 0.9258291396041681), ('C0185', 0.8974679044391592), ('C0036', 0.8888901364035315)]"
C0016,"[('C0094', 0.9635995495909664), ('C0117', 0.9141533577466372), ('C0098', 0.8915288625360402)]"
C0017,"[('C0075', 0.9185984893379382), ('C0064', 0.8922068270499401), ('C0041', 0.8720912856016335)]"
C0018,"[('C0047', 0.8436054899754603), ('C0035', 0.8292946507317581), ('C0068', 0.8245786230537221)]"
C0019,"[('C0070', 0.9463926366135964), ('C0064', 0.8751531574349513), ('C0132', 0.8516773684799936)]"
C0020,"[('C0058', 0.9282042108334283), ('C0033', 0.9219147118318249), ('C0050', 0.9117697104844106)]"
